时间,位移[mm],4#温度[℃]
 2025-08-15 11:22:58.5157,700.000000,29.637049
 2025-08-15 11:22:58.5167,700.000000,29.621519
 2025-08-15 11:22:58.5177,700.000000,29.675874
 2025-08-15 11:22:58.5187,700.000000,29.652579
 2025-08-15 11:22:58.5197,700.000000,29.660344
 2025-08-15 11:22:58.5207,700.000000,29.683639
 2025-08-15 11:22:58.5217,700.000000,29.668109
 2025-08-15 11:22:58.5227,700.000000,29.652579
 2025-08-15 11:22:58.5237,700.000000,29.637049
 2025-08-15 11:22:58.5247,700.000000,29.652579
 2025-08-15 11:22:58.5257,700.000000,29.668109
 2025-08-15 11:22:58.5267,700.000000,29.668108
 2025-08-15 11:22:58.5277,700.000000,29.675874
 2025-08-15 11:22:58.5287,700.000000,29.660344
 2025-08-15 11:22:58.5297,700.000000,29.644814
 2025-08-15 11:22:58.5307,700.000000,29.644814
 2025-08-15 11:22:58.5317,700.000000,29.668109
 2025-08-15 11:22:58.5327,700.000000,29.621518
 2025-08-15 11:22:58.5337,700.000000,29.613754
 2025-08-15 11:22:58.5347,700.000000,29.652579
 2025-08-15 11:22:58.5357,700.000000,29.629284
 2025-08-15 11:22:58.5367,700.000000,29.637049
 2025-08-15 11:22:58.5377,700.000000,29.644814
 2025-08-15 11:22:58.5387,700.000000,29.652579
 2025-08-15 11:22:58.5397,700.000000,29.652579
 2025-08-15 11:22:58.5407,700.000000,29.668109
 2025-08-15 11:22:58.5417,700.000000,29.675874
 2025-08-15 11:22:58.5427,700.000000,29.660344
 2025-08-15 11:22:58.5437,700.000000,29.644814
 2025-08-15 11:22:58.5447,700.000000,29.691404
 2025-08-15 11:22:58.5457,700.000000,29.675874
 2025-08-15 11:22:58.5467,700.000000,29.668109
 2025-08-15 11:22:58.5477,700.000000,29.683639
 2025-08-15 11:22:58.5487,700.000000,29.660344
 2025-08-15 11:22:58.5497,700.000000,29.675874
 2025-08-15 11:22:58.5507,700.000000,29.675874
 2025-08-15 11:22:58.5517,700.000000,29.683639
 2025-08-15 11:22:58.5527,700.000000,29.668109
 2025-08-15 11:22:58.5537,700.000000,29.660344
 2025-08-15 11:22:58.5547,700.000000,29.675874
 2025-08-15 11:22:58.5557,700.000000,29.660344
 2025-08-15 11:22:58.5567,700.000000,29.629284
 2025-08-15 11:22:58.5577,700.000000,29.668109
 2025-08-15 11:22:58.5587,700.000000,29.660344
 2025-08-15 11:22:58.5597,700.000000,29.675874
 2025-08-15 11:22:58.5607,700.000000,29.668109
 2025-08-15 11:22:58.5617,700.000000,29.660344
 2025-08-15 11:22:58.5627,700.000000,29.675873
 2025-08-15 11:22:58.5637,700.000000,29.605988
 2025-08-15 11:22:58.5647,700.000000,29.621518
 2025-08-15 11:22:58.5657,700.000000,29.675874
 2025-08-15 11:22:58.5667,700.000000,29.652579
 2025-08-15 11:22:58.5677,700.000000,29.621519
 2025-08-15 11:22:58.5687,700.000000,29.644814
 2025-08-15 11:22:58.5697,700.000000,29.629284
 2025-08-15 11:22:58.5707,700.000000,29.629283
 2025-08-15 11:22:58.5717,700.000000,29.644814
 2025-08-15 11:22:58.5727,700.000000,29.629284
 2025-08-15 11:22:58.5737,700.000000,29.621519
 2025-08-15 11:22:58.5747,700.000000,29.652579
 2025-08-15 11:22:58.5757,700.001000,29.621519
 2025-08-15 11:22:58.5767,700.001000,29.629283
 2025-08-15 11:22:58.5777,700.001000,29.621519
 2025-08-15 11:22:58.5787,700.001000,29.660344
 2025-08-15 11:22:58.5797,700.001000,29.652579
 2025-08-15 11:22:58.5807,700.001000,29.644814
 2025-08-15 11:22:58.5817,700.001000,29.644814
 2025-08-15 11:22:58.5827,700.001000,29.598224
 2025-08-15 11:22:58.5837,700.001000,29.644814
 2025-08-15 11:22:58.5847,700.001000,29.637049
 2025-08-15 11:22:58.5857,700.002000,29.652579
 2025-08-15 11:22:58.5867,700.002000,29.629284
 2025-08-15 11:22:58.5877,700.002000,29.652579
 2025-08-15 11:22:58.5887,700.002000,29.613753
 2025-08-15 11:22:58.5897,700.002000,29.613753
 2025-08-15 11:22:58.5907,700.002000,29.652579
 2025-08-15 11:22:58.5917,700.002000,29.660344
 2025-08-15 11:22:58.5927,700.002000,29.644814
 2025-08-15 11:22:58.5937,700.002000,29.660344
 2025-08-15 11:22:58.5947,700.002000,29.706934
 2025-08-15 11:22:58.5957,700.003000,29.675874
 2025-08-15 11:22:58.5967,700.003000,29.652579
 2025-08-15 11:22:58.5977,700.003000,29.652579
 2025-08-15 11:22:58.5987,700.003000,29.691404
 2025-08-15 11:22:58.5997,700.003000,29.675874
 2025-08-15 11:22:58.6007,700.003000,29.660344
 2025-08-15 11:22:58.6017,700.003000,29.722464
 2025-08-15 11:22:58.6027,700.003000,29.714699
 2025-08-15 11:22:58.6037,700.003000,29.675874
 2025-08-15 11:22:58.6047,700.003000,29.683639
 2025-08-15 11:22:58.6057,700.004000,29.699169
 2025-08-15 11:22:58.6067,700.004000,29.706934
 2025-08-15 11:22:58.6077,700.004000,29.730229
 2025-08-15 11:22:58.6087,700.004000,29.722464
 2025-08-15 11:22:58.6097,700.004000,29.691404
 2025-08-15 11:22:58.6107,700.004000,29.691404
 2025-08-15 11:22:58.6117,700.004000,29.691404
 2025-08-15 11:22:58.6127,700.004000,29.706934
 2025-08-15 11:22:58.6137,700.004000,29.722464
 2025-08-15 11:22:58.6147,700.004000,29.737994
 2025-08-15 11:22:58.6157,700.006000,29.714699
 2025-08-15 11:22:58.6167,700.006000,29.714699
 2025-08-15 11:22:58.6177,700.006000,29.699169
 2025-08-15 11:22:58.6187,700.006000,29.699169
 2025-08-15 11:22:58.6197,700.006000,29.699169
 2025-08-15 11:22:58.6207,700.006000,29.691404
 2025-08-15 11:22:58.6217,700.006000,29.761289
 2025-08-15 11:22:58.6227,700.006000,29.714699
 2025-08-15 11:22:58.6237,700.006000,29.691403
 2025-08-15 11:22:58.6247,700.006000,29.699169
 2025-08-15 11:22:58.6257,700.007000,29.675874
 2025-08-15 11:22:58.6267,700.007000,29.714699
 2025-08-15 11:22:58.6277,700.007000,29.714699
 2025-08-15 11:22:58.6287,700.007000,29.730229
 2025-08-15 11:22:58.6297,700.007000,29.722464
 2025-08-15 11:22:58.6307,700.007000,29.699169
 2025-08-15 11:22:58.6317,700.007000,29.714699
 2025-08-15 11:22:58.6327,700.007000,29.675873
 2025-08-15 11:22:58.6337,700.007000,29.668108
 2025-08-15 11:22:58.6347,700.007000,29.737994
 2025-08-15 11:22:58.6357,700.009000,29.683639
 2025-08-15 11:22:58.6367,700.009000,29.730229
 2025-08-15 11:22:58.6377,700.009000,29.722464
 2025-08-15 11:22:58.6387,700.009000,29.699169
 2025-08-15 11:22:58.6397,700.009000,29.675874
 2025-08-15 11:22:58.6407,700.009000,29.691404
 2025-08-15 11:22:58.6417,700.009000,29.722464
 2025-08-15 11:22:58.6427,700.009000,29.699169
 2025-08-15 11:22:58.6437,700.009000,29.683639
 2025-08-15 11:22:58.6447,700.009000,29.714699
 2025-08-15 11:22:58.6457,700.011000,29.714699
 2025-08-15 11:22:58.6467,700.011000,29.706934
 2025-08-15 11:22:58.6477,700.011000,29.730229
 2025-08-15 11:22:58.6487,700.011000,29.753524
 2025-08-15 11:22:58.6497,700.011000,29.714699
 2025-08-15 11:22:58.6507,700.011000,29.722464
 2025-08-15 11:22:58.6517,700.011000,29.737994
 2025-08-15 11:22:58.6527,700.011000,29.706934
 2025-08-15 11:22:58.6537,700.011000,29.691403
 2025-08-15 11:22:58.6547,700.011000,29.699169
 2025-08-15 11:22:58.6557,700.013000,29.722464
 2025-08-15 11:22:58.6567,700.013000,29.691404
 2025-08-15 11:22:58.6577,700.013000,29.691404
 2025-08-15 11:22:58.6587,700.013000,29.706934
 2025-08-15 11:22:58.6597,700.013000,29.683639
 2025-08-15 11:22:58.6607,700.013000,29.699169
 2025-08-15 11:22:58.6617,700.013000,29.714699
 2025-08-15 11:22:58.6627,700.013000,29.714699
 2025-08-15 11:22:58.6637,700.013000,29.699169
 2025-08-15 11:22:58.6647,700.013000,29.699169
 2025-08-15 11:22:58.6657,700.016000,29.714699
 2025-08-15 11:22:58.6667,700.016000,29.737994
 2025-08-15 11:22:58.6677,700.016000,29.722464
 2025-08-15 11:22:58.6687,700.016000,29.730229
 2025-08-15 11:22:58.6697,700.016000,29.714699
 2025-08-15 11:22:58.6707,700.016000,29.761289
 2025-08-15 11:22:58.6717,700.016000,29.722464
 2025-08-15 11:22:58.6727,700.016000,29.706934
 2025-08-15 11:22:58.6737,700.016000,29.706934
 2025-08-15 11:22:58.6747,700.016000,29.722464
 2025-08-15 11:22:58.6757,700.018000,29.706934
 2025-08-15 11:22:58.6767,700.018000,29.706934
 2025-08-15 11:22:58.6777,700.018000,29.683639
 2025-08-15 11:22:58.6787,700.018000,29.683639
 2025-08-15 11:22:58.6797,700.018000,29.691404
 2025-08-15 11:22:58.6807,700.018000,29.660344
 2025-08-15 11:22:58.6817,700.018000,29.691404
 2025-08-15 11:22:58.6827,700.018000,29.660344
 2025-08-15 11:22:58.6837,700.018000,29.691404
 2025-08-15 11:22:58.6847,700.018000,29.675874
 2025-08-15 11:22:58.6857,700.021000,29.691404
 2025-08-15 11:22:58.6867,700.021000,29.683639
 2025-08-15 11:22:58.6877,700.021000,29.691404
 2025-08-15 11:22:58.6887,700.021000,29.691404
 2025-08-15 11:22:58.6897,700.021000,29.660344
 2025-08-15 11:22:58.6907,700.021000,29.652579
 2025-08-15 11:22:58.6917,700.021000,29.668109
 2025-08-15 11:22:58.6927,700.021000,29.699169
 2025-08-15 11:22:58.6937,700.021000,29.652579
 2025-08-15 11:22:58.6947,700.021000,29.683639
 2025-08-15 11:22:58.6957,700.024000,29.613754
 2025-08-15 11:22:58.6967,700.024000,29.675874
 2025-08-15 11:22:58.6977,700.024000,29.629284
 2025-08-15 11:22:58.6987,700.024000,29.629284
 2025-08-15 11:22:58.6997,700.024000,29.613754
 2025-08-15 11:22:58.7007,700.024000,29.660344
 2025-08-15 11:22:58.7017,700.024000,29.652579
 2025-08-15 11:22:58.7027,700.024000,29.621519
 2025-08-15 11:22:58.7037,700.024000,29.660344
 2025-08-15 11:22:58.7047,700.024000,29.637049
 2025-08-15 11:22:58.7057,700.028000,29.668109
 2025-08-15 11:22:58.7067,700.028000,29.652579
 2025-08-15 11:22:58.7077,700.028000,29.637049
 2025-08-15 11:22:58.7087,700.028000,29.605989
 2025-08-15 11:22:58.7097,700.028000,29.660344
 2025-08-15 11:22:58.7107,700.028000,29.668109
 2025-08-15 11:22:58.7117,700.028000,29.668109
 2025-08-15 11:22:58.7127,700.028000,29.668109
 2025-08-15 11:22:58.7137,700.028000,29.644814
 2025-08-15 11:22:58.7147,700.028000,29.652579
 2025-08-15 11:22:58.7157,700.031000,29.621519
 2025-08-15 11:22:58.7167,700.031000,29.629284
 2025-08-15 11:22:58.7177,700.031000,29.660344
 2025-08-15 11:22:58.7187,700.031000,29.637049
 2025-08-15 11:22:58.7197,700.031000,29.652579
 2025-08-15 11:22:58.7207,700.031000,29.644814
 2025-08-15 11:22:58.7217,700.031000,29.605989
 2025-08-15 11:22:58.7227,700.031000,29.660344
 2025-08-15 11:22:58.7237,700.031000,29.637049
 2025-08-15 11:22:58.7247,700.031000,29.637049
 2025-08-15 11:22:58.7257,700.035000,29.644814
 2025-08-15 11:22:58.7267,700.035000,29.675874
 2025-08-15 11:22:58.7277,700.035000,29.644814
 2025-08-15 11:22:58.7287,700.035000,29.637049
 2025-08-15 11:22:58.7297,700.035000,29.652579
 2025-08-15 11:22:58.7307,700.035000,29.683639
 2025-08-15 11:22:58.7317,700.035000,29.637049
 2025-08-15 11:22:58.7327,700.035000,29.629284
 2025-08-15 11:22:58.7337,700.035000,29.629284
 2025-08-15 11:22:58.7347,700.035000,29.652579
 2025-08-15 11:22:58.7357,700.039000,29.613754
 2025-08-15 11:22:58.7367,700.039000,29.652579
 2025-08-15 11:22:58.7377,700.039000,29.637049
 2025-08-15 11:22:58.7387,700.039000,29.660344
 2025-08-15 11:22:58.7397,700.039000,29.613754
 2025-08-15 11:22:58.7407,700.039000,29.660344
 2025-08-15 11:22:58.7417,700.039000,29.644814
 2025-08-15 11:22:58.7427,700.039000,29.637049
 2025-08-15 11:22:58.7437,700.039000,29.644814
 2025-08-15 11:22:58.7447,700.039000,29.668109
 2025-08-15 11:22:58.7457,700.043000,29.644814
 2025-08-15 11:22:58.7467,700.043000,29.652579
 2025-08-15 11:22:58.7477,700.043000,29.675874
 2025-08-15 11:22:58.7487,700.043000,29.675874
 2025-08-15 11:22:58.7497,700.043000,29.652579
 2025-08-15 11:22:58.7507,700.043000,29.660344
 2025-08-15 11:22:58.7517,700.043000,29.675874
 2025-08-15 11:22:58.7527,700.043000,29.652578
 2025-08-15 11:22:58.7537,700.043000,29.637049
 2025-08-15 11:22:58.7547,700.043000,29.629284
 2025-08-15 11:22:58.7557,700.047000,29.660344
 2025-08-15 11:22:58.7567,700.047000,29.668109
 2025-08-15 11:22:58.7577,700.047000,29.660344
 2025-08-15 11:22:58.7587,700.047000,29.683639
 2025-08-15 11:22:58.7597,700.047000,29.683639
 2025-08-15 11:22:58.7607,700.047000,29.644814
 2025-08-15 11:22:58.7617,700.047000,29.637049
 2025-08-15 11:22:58.7627,700.047000,29.668109
 2025-08-15 11:22:58.7637,700.047000,29.668109
 2025-08-15 11:22:58.7647,700.047000,29.637049
 2025-08-15 11:22:58.7657,700.051000,29.652579
 2025-08-15 11:22:58.7667,700.051000,29.691404
 2025-08-15 11:22:58.7677,700.051000,29.660344
 2025-08-15 11:22:58.7687,700.051000,29.691404
 2025-08-15 11:22:58.7697,700.051000,29.652579
 2025-08-15 11:22:58.7707,700.051000,29.675874
 2025-08-15 11:22:58.7717,700.051000,29.675874
 2025-08-15 11:22:58.7727,700.051000,29.644814
 2025-08-15 11:22:58.7737,700.051000,29.691404
 2025-08-15 11:22:58.7747,700.051000,29.660344
 2025-08-15 11:22:58.7757,700.055000,29.668109
 2025-08-15 11:22:58.7767,700.055000,29.652579
 2025-08-15 11:22:58.7777,700.055000,29.613754
 2025-08-15 11:22:58.7787,700.055000,29.660344
 2025-08-15 11:22:58.7797,700.055000,29.660344
 2025-08-15 11:22:58.7807,700.055000,29.629284
 2025-08-15 11:22:58.7817,700.055000,29.613752
 2025-08-15 11:22:58.7827,700.055000,29.629284
 2025-08-15 11:22:58.7837,700.055000,29.660344
 2025-08-15 11:22:58.7847,700.055000,29.675874
 2025-08-15 11:22:58.7857,700.059000,29.691404
 2025-08-15 11:22:58.7867,700.059000,29.691404
 2025-08-15 11:22:58.7877,700.059000,29.675874
 2025-08-15 11:22:58.7887,700.059000,29.637049
 2025-08-15 11:22:58.7897,700.059000,29.668109
 2025-08-15 11:22:58.7907,700.059000,29.668109
 2025-08-15 11:22:58.7917,700.059000,29.637049
 2025-08-15 11:22:58.7927,700.059000,29.668109
 2025-08-15 11:22:58.7937,700.059000,29.629284
 2025-08-15 11:22:58.7947,700.059000,29.660344
 2025-08-15 11:22:58.7957,700.063000,29.691404
 2025-08-15 11:22:58.7967,700.063000,29.652579
 2025-08-15 11:22:58.7977,700.063000,29.660344
 2025-08-15 11:22:58.7987,700.063000,29.668109
 2025-08-15 11:22:58.7997,700.063000,29.691404
 2025-08-15 11:22:58.8007,700.063000,29.637049
 2025-08-15 11:22:58.8017,700.063000,29.629284
 2025-08-15 11:22:58.8027,700.063000,29.675874
 2025-08-15 11:22:58.8037,700.063000,29.621519
 2025-08-15 11:22:58.8047,700.063000,29.675874
 2025-08-15 11:22:58.8057,700.068000,29.668109
 2025-08-15 11:22:58.8067,700.068000,29.660344
 2025-08-15 11:22:58.8077,700.068000,29.675874
 2025-08-15 11:22:58.8087,700.068000,29.675874
 2025-08-15 11:22:58.8097,700.068000,29.675874
 2025-08-15 11:22:58.8107,700.068000,29.691404
 2025-08-15 11:22:58.8117,700.068000,29.668109
 2025-08-15 11:22:58.8127,700.068000,29.613754
 2025-08-15 11:22:58.8137,700.068000,29.629283
 2025-08-15 11:22:58.8147,700.068000,29.621519
 2025-08-15 11:22:58.8157,700.072000,29.644814
 2025-08-15 11:22:58.8167,700.072000,29.652579
 2025-08-15 11:22:58.8177,700.072000,29.644814
 2025-08-15 11:22:58.8187,700.072000,29.637049
 2025-08-15 11:22:58.8197,700.072000,29.675874
 2025-08-15 11:22:58.8207,700.072000,29.644814
 2025-08-15 11:22:58.8217,700.072000,29.629283
 2025-08-15 11:22:58.8227,700.072000,29.668109
 2025-08-15 11:22:58.8237,700.072000,29.652579
 2025-08-15 11:22:58.8247,700.072000,29.699169
 2025-08-15 11:22:58.8257,700.076000,29.668109
 2025-08-15 11:22:58.8267,700.076000,29.675874
 2025-08-15 11:22:58.8277,700.076000,29.668109
 2025-08-15 11:22:58.8287,700.076000,29.644814
 2025-08-15 11:22:58.8297,700.076000,29.644814
 2025-08-15 11:22:58.8307,700.076000,29.637049
 2025-08-15 11:22:58.8317,700.076000,29.660344
 2025-08-15 11:22:58.8327,700.076000,29.629284
 2025-08-15 11:22:58.8337,700.076000,29.621519
 2025-08-15 11:22:58.8347,700.076000,29.644814
 2025-08-15 11:22:58.8357,700.080000,29.675874
 2025-08-15 11:22:58.8367,700.080000,29.613753
 2025-08-15 11:22:58.8377,700.080000,29.613754
 2025-08-15 11:22:58.8387,700.080000,29.629284
 2025-08-15 11:22:58.8397,700.080000,29.621519
 2025-08-15 11:22:58.8407,700.080000,29.652579
 2025-08-15 11:22:58.8417,700.080000,29.660344
 2025-08-15 11:22:58.8427,700.080000,29.691404
 2025-08-15 11:22:58.8437,700.080000,29.683639
 2025-08-15 11:22:58.8447,700.080000,29.652579
 2025-08-15 11:22:58.8457,700.084000,29.668109
 2025-08-15 11:22:58.8467,700.084000,29.668109
 2025-08-15 11:22:58.8477,700.084000,29.644814
 2025-08-15 11:22:58.8487,700.084000,29.644814
 2025-08-15 11:22:58.8497,700.084000,29.637049
 2025-08-15 11:22:58.8507,700.084000,29.644814
 2025-08-15 11:22:58.8517,700.084000,29.652579
 2025-08-15 11:22:58.8527,700.084000,29.668109
 2025-08-15 11:22:58.8537,700.084000,29.637049
 2025-08-15 11:22:58.8547,700.084000,29.637049
 2025-08-15 11:22:58.8557,700.088000,29.637049
 2025-08-15 11:22:58.8567,700.088000,29.629284
 2025-08-15 11:22:58.8577,700.088000,29.644814
 2025-08-15 11:22:58.8587,700.088000,29.598224
 2025-08-15 11:22:58.8597,700.088000,29.629284
 2025-08-15 11:22:58.8607,700.088000,29.637049
 2025-08-15 11:22:58.8617,700.088000,29.644814
 2025-08-15 11:22:58.8627,700.088000,29.637049
 2025-08-15 11:22:58.8637,700.088000,29.598224
 2025-08-15 11:22:58.8647,700.088000,29.621519
 2025-08-15 11:22:58.8657,700.093000,29.621519
 2025-08-15 11:22:58.8667,700.093000,29.629284
 2025-08-15 11:22:58.8677,700.093000,29.637048
 2025-08-15 11:22:58.8687,700.093000,29.660344
 2025-08-15 11:22:58.8697,700.093000,29.629284
 2025-08-15 11:22:58.8707,700.093000,29.621519
 2025-08-15 11:22:58.8717,700.093000,29.652579
 2025-08-15 11:22:58.8727,700.093000,29.644814
 2025-08-15 11:22:58.8737,700.093000,29.644814
 2025-08-15 11:22:58.8747,700.093000,29.644814
 2025-08-15 11:22:58.8757,700.097000,29.644814
 2025-08-15 11:22:58.8767,700.097000,29.605988
 2025-08-15 11:22:58.8777,700.097000,29.613754
 2025-08-15 11:22:58.8787,700.097000,29.621519
 2025-08-15 11:22:58.8797,700.097000,29.668109
 2025-08-15 11:22:58.8807,700.097000,29.660344
 2025-08-15 11:22:58.8817,700.097000,29.675874
 2025-08-15 11:22:58.8827,700.097000,29.652579
 2025-08-15 11:22:58.8837,700.097000,29.637049
 2025-08-15 11:22:58.8847,700.097000,29.644814
 2025-08-15 11:22:58.8857,700.101000,29.621518
 2025-08-15 11:22:58.8867,700.101000,29.621519
 2025-08-15 11:22:58.8877,700.101000,29.644814
 2025-08-15 11:22:58.8887,700.101000,29.660344
 2025-08-15 11:22:58.8897,700.101000,29.613753
 2025-08-15 11:22:58.8907,700.101000,29.652578
 2025-08-15 11:22:58.8917,700.101000,29.675874
 2025-08-15 11:22:58.8927,700.101000,29.621519
 2025-08-15 11:22:58.8937,700.101000,29.629284
 2025-08-15 11:22:58.8947,700.101000,29.660344
 2025-08-15 11:22:58.8957,700.105000,29.652579
 2025-08-15 11:22:58.8967,700.105000,29.629284
 2025-08-15 11:22:58.8977,700.105000,29.605989
 2025-08-15 11:22:58.8987,700.105000,29.629284
 2025-08-15 11:22:58.8997,700.105000,29.637049
 2025-08-15 11:22:58.9007,700.105000,29.613754
 2025-08-15 11:22:58.9017,700.105000,29.660344
 2025-08-15 11:22:58.9027,700.105000,29.668109
 2025-08-15 11:22:58.9037,700.105000,29.621519
 2025-08-15 11:22:58.9047,700.105000,29.621519
 2025-08-15 11:22:58.9057,700.109000,29.629284
 2025-08-15 11:22:58.9067,700.109000,29.637049
 2025-08-15 11:22:58.9077,700.109000,29.629284
 2025-08-15 11:22:58.9087,700.109000,29.605989
 2025-08-15 11:22:58.9097,700.109000,29.637049
 2025-08-15 11:22:58.9107,700.109000,29.637049
