时间,位移[mm],1#温度[℃],2#温度[℃]
 2025-07-23 22:26:15.5794,610.0,28.78418,28.685479
 2025-07-23 22:26:15.5894,610.0,28.78418,28.739857
 2025-07-23 22:26:15.5994,610.0,28.768641,28.716553
 2025-07-23 22:26:15.6094,610.0,28.760871,28.708784
 2025-07-23 22:26:15.6194,610.0,28.745332,28.739857
 2025-07-23 22:26:15.6294,610.0,28.768641,28.669942
 2025-07-23 22:26:15.6394,610.001,28.745332,28.685479
 2025-07-23 22:26:15.6494,610.001,28.737561,28.747626
 2025-07-23 22:26:15.6594,610.002,28.768641,28.72432
 2025-07-23 22:26:15.6694,610.003,28.737563,28.708784
 2025-07-23 22:26:15.6794,610.005,28.753101,28.739857
 2025-07-23 22:26:15.6894,610.006,28.78418,28.708784
 2025-07-23 22:26:15.6994,610.008,28.76087,28.732088
 2025-07-23 22:26:15.7094,610.01,28.745332,28.716552
 2025-07-23 22:26:15.7194,610.012,28.753101,28.701015
 2025-07-23 22:26:15.7294,610.014,28.737563,28.716552
 2025-07-23 22:26:15.7394,610.017,28.760871,28.72432
 2025-07-23 22:26:15.7494,610.02,28.753102,28.708784
 2025-07-23 22:26:15.7594,610.023,28.737563,28.708784
 2025-07-23 22:26:15.7694,610.026,28.737563,28.732088
 2025-07-23 22:26:15.7794,610.029,28.745331,28.72432
 2025-07-23 22:26:15.7894,610.033,28.706484,28.72432
 2025-07-23 22:26:15.7994,610.037,28.823028,28.72432
 2025-07-23 22:26:15.8094,610.041,28.799719,28.708784
 2025-07-23 22:26:15.8194,610.045,28.768641,28.747625
 2025-07-23 22:26:15.8294,610.049,28.760871,28.747625
 2025-07-23 22:26:15.8394,610.053,28.768641,28.708784
 2025-07-23 22:26:15.8494,610.057,28.753101,28.716552
 2025-07-23 22:26:15.8594,610.061,28.745331,28.701015
 2025-07-23 22:26:15.8694,610.065,28.799719,28.708784
 2025-07-23 22:26:15.8794,610.069,28.745332,28.693247
 2025-07-23 22:26:15.8894,610.074,28.799719,28.716552
 2025-07-23 22:26:15.8994,610.078,28.791949,28.693247
 2025-07-23 22:26:15.9094,610.082,28.791949,28.763161
 2025-07-23 22:26:15.9194,610.086,28.722023,28.72432
 2025-07-23 22:26:15.9294,610.09,28.78418,28.732088
 2025-07-23 22:26:15.9394,610.094,28.737563,28.708784
 2025-07-23 22:26:15.9494,610.099,28.76087,28.747626
 2025-07-23 22:26:15.9594,610.103,28.77641,28.701015
 2025-07-23 22:26:15.9694,610.107,28.729792,28.739857
 2025-07-23 22:26:15.9794,610.111,28.745331,28.685479
 2025-07-23 22:26:15.9894,610.115,28.799719,28.732088
 2025-07-23 22:26:15.9994,610.119,28.737563,28.677711
 2025-07-23 22:26:16.0094,610.124,28.768641,28.739857
 2025-07-23 22:26:16.0194,610.128,28.753102,28.708784
 2025-07-23 22:26:16.0294,610.132,28.77641,28.747626
 2025-07-23 22:26:16.0394,610.136,28.745332,28.732088
 2025-07-23 22:26:16.0494,610.14,28.815258,28.716552
 2025-07-23 22:26:16.0594,610.145,28.760871,28.72432
 2025-07-23 22:26:16.0694,610.149,28.760871,28.732088
 2025-07-23 22:26:16.0794,610.153,28.768641,28.701015
 2025-07-23 22:26:16.0894,610.157,28.77641,28.693247
 2025-07-23 22:26:16.0994,610.161,28.753102,28.72432
 2025-07-23 22:26:16.1094,610.165,28.791949,28.693247
 2025-07-23 22:26:16.1194,610.17,28.791949,28.732088
 2025-07-23 22:26:16.1294,610.174,28.753102,28.755394
 2025-07-23 22:26:16.1394,610.178,28.78418,28.739857
 2025-07-23 22:26:16.1494,610.182,28.78418,28.732088
 2025-07-23 22:26:16.1594,610.186,28.729792,28.716553
 2025-07-23 22:26:16.1694,610.19,28.753101,28.72432
 2025-07-23 22:26:16.1794,610.195,28.76087,28.693247
 2025-07-23 22:26:16.1894,610.199,28.729792,28.685479
 2025-07-23 22:26:16.1994,610.203,28.753102,28.693247
 2025-07-23 22:26:16.2094,610.207,28.753102,28.693247
 2025-07-23 22:26:16.2194,610.211,28.745331,28.708784
 2025-07-23 22:26:16.2294,610.215,28.753102,28.701015
 2025-07-23 22:26:16.2394,610.22,28.745332,28.732088
 2025-07-23 22:26:16.2494,610.224,28.768641,28.693247
 2025-07-23 22:26:16.2594,610.228,28.753102,28.708784
 2025-07-23 22:26:16.2694,610.232,28.76087,28.716552
 2025-07-23 22:26:16.2794,610.236,28.745331,28.693247
 2025-07-23 22:26:16.2894,610.24,28.722023,28.72432
 2025-07-23 22:26:16.2994,610.245,28.77641,28.732088
 2025-07-23 22:26:16.3094,610.249,28.78418,28.72432
 2025-07-23 22:26:16.3194,610.253,28.78418,28.708784
 2025-07-23 22:26:16.3294,610.257,28.768641,28.755394
 2025-07-23 22:26:16.3394,610.261,28.768641,28.716552
 2025-07-23 22:26:16.3494,610.265,28.78418,28.693247
 2025-07-23 22:26:16.3594,610.27,28.77641,28.739858
 2025-07-23 22:26:16.3694,610.274,28.807488,28.716552
 2025-07-23 22:26:16.3794,610.278,28.823028,28.685479
 2025-07-23 22:26:16.3894,610.282,28.791949,28.716552
 2025-07-23 22:26:16.3994,610.286,28.78418,28.693247
 2025-07-23 22:26:16.4094,610.29,28.799719,28.685478
 2025-07-23 22:26:16.4194,610.295,28.77641,28.732089
 2025-07-23 22:26:16.4294,610.299,28.768641,28.763162
 2025-07-23 22:26:16.4394,610.303,28.760871,28.770932
 2025-07-23 22:26:16.4494,610.307,28.737562,28.739857
 2025-07-23 22:26:16.4594,610.311,28.722023,28.739857
 2025-07-23 22:26:16.4694,610.315,28.745332,28.770931
 2025-07-23 22:26:16.4794,610.32,28.745332,28.701015
 2025-07-23 22:26:16.4894,610.324,28.753102,28.646638
 2025-07-23 22:26:16.4994,610.328,28.753102,28.677711
 2025-07-23 22:26:16.5094,610.332,28.737562,28.739858
 2025-07-23 22:26:16.5194,610.336,28.76087,28.716553
 2025-07-23 22:26:16.5294,610.34,28.77641,28.677711
 2025-07-23 22:26:16.5394,610.345,28.753101,28.739857
 2025-07-23 22:26:16.5494,610.349,28.753102,28.739858
 2025-07-23 22:26:16.5594,610.353,28.78418,28.662174
 2025-07-23 22:26:16.5694,610.357,28.737563,28.747626
 2025-07-23 22:26:16.5794,610.361,28.76087,28.716552
 2025-07-23 22:26:16.5894,610.365,28.77641,28.72432
 2025-07-23 22:26:16.5994,610.37,28.737563,28.708784
 2025-07-23 22:26:16.6094,610.374,28.760871,28.72432
 2025-07-23 22:26:16.6194,610.378,28.77641,28.739857
 2025-07-23 22:26:16.6294,610.382,28.78418,28.72432
 2025-07-23 22:26:16.6394,610.386,28.76864,28.72432
 2025-07-23 22:26:16.6494,610.39,28.729793,28.72432
 2025-07-23 22:26:16.6594,610.395,28.807488,28.716552
 2025-07-23 22:26:16.6694,610.399,28.760871,28.747625
 2025-07-23 22:26:16.6794,610.403,28.78418,28.747625
 2025-07-23 22:26:16.6894,610.407,28.768641,28.669942
 2025-07-23 22:26:16.6994,610.411,28.791949,28.732088
 2025-07-23 22:26:16.7094,610.415,28.76864,28.732089
 2025-07-23 22:26:16.7194,610.42,28.77641,28.708784
 2025-07-23 22:26:16.7294,610.424,28.78418,28.739857
 2025-07-23 22:26:16.7394,610.428,28.760871,28.701015
 2025-07-23 22:26:16.7494,610.432,28.78418,28.716553
 2025-07-23 22:26:16.7594,610.436,28.78418,28.732089
 2025-07-23 22:26:16.7694,610.44,28.77641,28.716553
 2025-07-23 22:26:16.7794,610.445,28.745331,28.770932
 2025-07-23 22:26:16.7894,610.449,28.768641,28.701015
 2025-07-23 22:26:16.7994,610.453,28.753102,28.685479
 2025-07-23 22:26:16.8094,610.457,28.737563,28.732089
 2025-07-23 22:26:16.8194,610.461,28.760871,28.693248
 2025-07-23 22:26:16.8294,610.465,28.78418,28.654406
 2025-07-23 22:26:16.8394,610.47,28.799719,28.739857
 2025-07-23 22:26:16.8494,610.474,28.77641,28.693247
 2025-07-23 22:26:16.8594,610.478,28.729792,28.739857
 2025-07-23 22:26:16.8694,610.482,28.768641,28.716552
 2025-07-23 22:26:16.8794,610.486,28.768641,28.693247
 2025-07-23 22:26:16.8894,610.49,28.768641,28.755394
 2025-07-23 22:26:16.8994,610.495,28.760871,28.732088
 2025-07-23 22:26:16.9094,610.499,28.745332,28.739857
 2025-07-23 22:26:16.9194,610.503,28.784179,28.778699
 2025-07-23 22:26:16.9294,610.507,28.76087,28.747625
 2025-07-23 22:26:16.9394,610.511,28.791949,28.72432
 2025-07-23 22:26:16.9494,610.516,28.760871,28.747626
 2025-07-23 22:26:16.9594,610.52,28.760871,28.72432
 2025-07-23 22:26:16.9694,610.524,28.791949,28.739857
 2025-07-23 22:26:16.9794,610.528,28.768641,28.708784
 2025-07-23 22:26:16.9894,610.532,28.77641,28.747625
 2025-07-23 22:26:16.9994,610.536,28.768641,28.72432
 2025-07-23 22:26:17.0094,610.54,28.753102,28.716552
 2025-07-23 22:26:17.0194,610.545,28.729792,28.732088
 2025-07-23 22:26:17.0294,610.549,28.78418,28.685479
 2025-07-23 22:26:17.0394,610.553,28.753102,28.724321
 2025-07-23 22:26:17.0494,610.557,28.760871,28.716553
 2025-07-23 22:26:17.0594,610.561,28.78418,28.716552
