,,CH0601,CH0602,CH0603,CH0604,CH0605
Date,Time,°C,°C,°C,°C,V
2025/9/8,18:41:47,29.9,30,29.9,29.8,13.37
2025/9/8,18:41:48,29.9,30,29.9,29.8,13.37
2025/9/8,18:41:49,29.9,30,29.9,29.8,13.37
2025/9/8,18:41:50,29.9,30,29.9,29.8,13.37
2025/9/8,18:41:51,29.9,30,29.9,29.8,13.37
2025/9/8,18:41:52,29.9,30,29.9,29.8,13.37
2025/9/8,18:41:53,29.9,30,29.9,29.8,13.37
2025/9/8,18:41:54,29.9,30,29.8,29.8,13.37
2025/9/8,18:41:55,29.9,30,29.9,29.8,13.37
2025/9/8,18:41:56,29.9,30,29.8,29.8,13.37
2025/9/8,18:41:57,29.9,30,29.8,29.8,13.37
2025/9/8,18:41:58,29.9,30,29.8,29.8,13.37
2025/9/8,18:41:59,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:00,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:01,29.9,30,29.9,29.8,13.37
2025/9/8,18:42:02,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:03,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:04,29.9,30,29.9,29.8,13.37
2025/9/8,18:42:05,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:06,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:07,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:08,29.9,30,29.9,29.8,13.37
2025/9/8,18:42:09,29.9,30,29.9,29.8,13.37
2025/9/8,18:42:10,29.9,30,29.9,29.8,13.37
2025/9/8,18:42:11,29.9,30,29.9,29.8,13.37
2025/9/8,18:42:12,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:13,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:14,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:15,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:16,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:17,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:18,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:19,29.9,30,29.9,29.8,13.37
2025/9/8,18:42:20,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:21,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:22,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:23,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:24,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:25,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:26,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:27,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:28,29.9,30,29.9,29.8,13.37
2025/9/8,18:42:29,29.9,30,29.9,29.8,13.37
2025/9/8,18:42:30,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:31,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:32,29.9,30,29.9,29.8,13.37
2025/9/8,18:42:33,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:34,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:35,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:36,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:37,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:38,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:39,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:40,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:41,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:42,29.9,30,29.9,29.8,13.37
2025/9/8,18:42:43,29.9,30,29.9,29.8,13.37
2025/9/8,18:42:44,29.9,30,29.9,29.8,13.37
2025/9/8,18:42:45,29.9,30,29.9,29.8,13.37
2025/9/8,18:42:46,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:47,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:48,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:49,29.9,30,29.9,29.8,13.37
2025/9/8,18:42:50,29.9,30,29.9,29.8,13.37
2025/9/8,18:42:51,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:52,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:53,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:54,29.9,30,29.8,29.8,13.37
2025/9/8,18:42:55,29.9,30,29.8,29.8,13.37
