Test_Time(s),Temperature (C)_1,Temperature (C)_2
3.010533650283426,-10.231257438659668,-10.552252769470217
3.010792454628807,-10.075469970703123,-10.552252769470217
8.019876617941343,-10.075469970703123,-10.662320137023926
13.02745570308479,-10.263127326965332,-10.584141731262209
18.034891968206484,-10.153358459472656,-10.552252769470217
23.042592315632547,-10.341041564941406,-10.53785800933838
28.050166781260465,-10.372917175292969,-10.427817344665527
33.05787752259646,-10.10733127593994,-10.584141731262209
38.06545006342624,-10.341041564941406,-10.53785800933838
43.0727604467498,-10.294998168945312,-10.616028785705566
48.08045117018517,-10.139195442199709,-10.427817344665527
53.088038724440416,-10.10733127593994,-10.459696769714355
58.09574985073605,-10.21709156036377,-10.616028785705566
63.103127986954014,-10.294998168945312,-10.413422584533691
68.11073902374653,-10.21709156036377,-10.53785800933838
73.11834967557942,-10.294998168945312,-10.647916793823242
78.12589372939678,-10.061307907104492,-10.679804801940918
83.13345510639736,-10.21709156036377,-10.53785800933838
88.14102803218678,-10.294998168945312,-10.616028785705566
93.14861674132092,-9.951571464538574,-10.491578102111816
98.15616695449228,-10.139195442199709,-10.53785800933838
103.163749889232,-10.263127326965332,-10.616028785705566
108.17132166014254,-10.029448509216309,-10.491578102111816
113.17888804161828,-10.10733127593994,-10.616028785705566
118.18646943651947,-10.139195442199709,-10.459696769714355
123.19403196839896,-10.341041564941406,-10.569743156433104
128.2016056641076,-10.075469970703123,-10.616028785705566
133.20918166957406,-10.45084285736084,-10.584141731262209
138.21670840020818,-10.309168815612791,-10.616028785705566
143.22428248087647,-10.341041564941406,-10.584141731262209
148.23190006198266,-10.341041564941406,-10.505974769592283
153.23946490361988,-10.341041564941406,-10.662320137023926
158.24703320989377,-10.309168815612791,-10.584141731262209
163.25461114015832,-10.341041564941406,-10.584141731262209
168.26216520292598,-10.231257438659668,-10.584141731262209
173.2697492925446,-10.27729320526123,-10.584141731262209
178.27740305985574,-10.355207443237305,-10.552252769470217
183.2849032282756,-10.199386596679688,-10.552252769470217
188.2924738443072,-10.245420455932615,-10.552252769470217
193.3000367611463,-10.401248931884766,-10.552252769470217
198.30758889911587,-10.479177474975586,-10.520365715026855
203.31521841397048,-10.433130264282228,-10.552252769470217
208.3227886450425,-10.401248931884766,-10.520365715026855
213.3302911232201,-10.479177474975586,-10.520365715026855
218.33790523968963,-10.401248931884766,-10.488480567932127
223.3454804752368,-10.479177474975586,-10.59853744506836
228.3530403123989,-10.401248931884766,-10.520365715026855
233.3606594333436,-10.447294235229492,-10.488480567932127
238.3681865489373,-10.479177474975586,-10.56664752960205
243.3757590897671,-10.447294235229492,-10.644821166992188
248.3833320155565,-10.447294235229492,-10.488480567932127
253.39090070679,-10.447294235229492,-10.488480567932127
258.3984763272968,-10.337491989135742,-10.534760475158691
263.4060723506638,-10.415412902832031,-10.612930297851562
268.4136171744005,-10.447294235229492,-10.424711227416992
273.4211916400284,-10.415412902832031,-10.424711227416992
278.42876225606005,-10.415412902832031,-10.581036567687988
283.43633980136497,-10.415412902832031,-10.581036567687988
288.4438638372817,-10.383529663085938,-10.502870559692385
290.03510600575925,-10.351648330688477,-10.424711227416992
350.0483087989303,-10.224127769470217,-10.592286109924316
410.06111255613627,-10.09661865234375,-10.763028144836426
470.0739817564789,-10.064745903015137,-10.777403831481934
530.0868455673867,-10.09661865234375,-10.919435501098633
590.0997344006703,-10.192248344421388,-10.27967357635498
650.1125751140005,-10.351648330688477,-10.40721035003662
710.1254358452313,-10.447294235229492,-10.45659637451172
770.1383350724248,-10.479177474975586,-10.520365715026855
830.1511850247861,-10.447294235229492,-10.56664752960205
890.1640615393616,-10.351648330688477,-10.470983505249023
950.1769476779278,-10.287886619567873,-10.517255783081056
1010.189774147752,-10.192248344421388,-10.49974250793457
1070.2026487375292,-10.174513816833496,-10.951354026794434
1130.2154906057383,-10.1426362991333,-10.66730785369873
1190.228360576,-10.15676975250244,-10.66730785369873
1250.2412528739203,-10.248799324035645,-10.948187828063965
1310.2540065863748,-10.248799324035645,-10.916266441345217
1370.2669496989658,-10.28068733215332,-10.869977951049805
1430.27982775338,-10.15676975250244,-10.791776657104492
1490.2927038829955,-10.1426362991333,-10.791776657104492
1550.3055565300745,-10.09661865234375,-10.731122016906738
1610.3184014779604,-10.09661865234375,-10.841225624084473
1670.3312252530673,-10.27015495300293,-10.826848030090332
1730.3441325644128,-10.256006240844728,-10.705498695373535
1790.3570009948362,-10.415412902832031,-10.534760475158691
1850.3698632659057,-10.447294235229492,-10.488480567932127
1910.38273054145,-10.479177474975586,-10.56664752960205
1970.3955897328424,-10.479177474975586,-10.59853744506836
2030.408462012862,-10.511062622070312,-10.552252769470217
2090.421412824646,-10.52877712249756,-10.616028785705566
2150.434144594401,-10.372917175292969,-10.679804801940918
2210.4470130248246,-10.358739852905272,-10.633511543273926
2270.4598787605305,-10.390612602233888,-10.50905418395996
2330.472775677966,-10.51811408996582,-10.540935516357422
2390.4856429535107,-10.376437187194824,-10.558403968811035
2450.498534096552,-10.266653060913086,-10.604697227478027
2510.511371730205,-10.358739852905272,-10.587221145629885
2570.5243052188057,-10.15688705444336,-10.462770462036133
2630.5370708650084,-10.440180778503418,-10.636579513549805
2690.5499673974846,-10.53230094909668,-10.540935516357422
2750.562845066939,-10.404790878295898,-10.6016263961792
2810.57577778562,-10.465012550354004,-10.552252769470217
2870.588746305547,-10.479177474975586,-10.676714897155762
2930.601423411035,-10.383529663085938,-10.659213066101074
2990.614298770732,-10.192248344421388,-10.702366828918455
3050.6271237007177,-10.298439979553224,-10.919435501098633
3110.64000291001,-10.248799324035645,-10.948187828063965
3170.652884429061,-10.248799324035645,-10.948187828063965
3230.665751319646,-10.124887466430664,-10.791776657104492
3290.678617825271,-10.15676975250244,-10.901896476745604
3350.691472782108,-10.174513816833496,-10.919435501098633
3410.704342752369,-10.174513816833496,-10.80931568145752
3470.7172092579945,-10.37635612487793,-10.823692321777344
3530.730071144104,-10.28068733215332,-10.948187828063965
3590.742931490375,-10.1531400680542,-10.82050895690918
3650.7557756683423,-10.10349178314209,-10.80295181274414
3710.7686714308993,-10.163607597351074,-10.67527675628662
3770.781526772695,-10.457478523254396,-10.657708168029783
3830.794393278321,-10.425569534301758,-10.593871116638184
3890.0428639299607,-10.17771816253662,-10.565185546875
3895.050637137672,-10.287520408630373,-10.643359184265137
3900.0582104484206,-10.163607597351074,-10.565185546875
3905.065883463714,-9.9759521484375,-10.643359184265137
3910.0732346527575,-10.053829193115234,-10.59709930419922
3915.081149807655,-10.08571720123291,-10.643359184265137
3920.088578758545,-10.00783634185791,-10.67527675628662
3925.096079696884,-10.08571720123291,-10.59709930419922
3930.103988307468,-10.117606163024902,-10.59709930419922
3935.111129308555,-10.149494171142578,-10.629014015197754
3940.1187965494537,-10.00783634185791,-10.59709930419922
3945.126356386616,-10.071605682373049,-10.629014015197754
3950.1339320071233,-10.13537883758545,-10.629014015197754
3955.141509552427,-9.99372386932373,-10.629014015197754
3960.1490281989095,-10.213274955749512,-10.629014015197754
3965.156605744214,-9.99372386932373,-10.629014015197754
3970.1642167810073,-10.16726779937744,-10.660926818847656
3975.171929832101,-10.13537883758545,-10.72475814819336
3980.179360322828,-10.057489395141602,-10.692842483520508
3985.1870695243256,-10.16726779937744,-10.660926818847656
3990.1943949210745,-10.13537883758545,-10.692842483520508
3995.2020336749606,-10.1991548538208,-10.692842483520508
4000.209653565824,-10.089374542236328,-10.75667667388916
4005.217273071729,-10.16726779937744,-10.72475814819336
4010.2247955678063,-10.121257781982422,-10.75667667388916
4015.232287267115,-10.1991548538208,-10.75667667388916
4020.239808993274,-10.1531400680542,-10.788593292236328
4025.247513960215,-10.216912269592283,-10.852428436279297
4030.255093045359,-10.185026168823242,-10.852428436279297
4035.262609767042,-10.185026168823242,-10.852428436279297
4040.270182307872,-10.1531400680542,-10.852428436279297
4045.277733290962,-10.248799324035645,-10.884346961975098
4050.28537050501,-10.216912269592283,-10.884346961975098
4055.292938811284,-10.216912269592283,-10.916266441345217
4060.300385085356,-10.1708984375,-10.884346961975098
