时间,4#温度[℃]
 2025-08-19 17:09:27.4443,31.01924
 2025-08-19 17:09:27.4444,31.023899
 2025-08-19 17:09:27.4445,31.028558
 2025-08-19 17:09:27.4446,31.025452
 2025-08-19 17:09:27.4447,31.022346
 2025-08-19 17:09:27.4448,31.01924
 2025-08-19 17:09:27.4449,31.016134
 2025-08-19 17:09:27.4450,31.020793
 2025-08-19 17:09:27.4451,31.017687
 2025-08-19 17:09:27.4452,31.014581
 2025-08-19 17:09:27.4453,31.011475
 2025-08-19 17:09:27.4454,31.00371
 2025-08-19 17:09:27.4455,31.00371
 2025-08-19 17:09:27.4456,30.98818
 2025-08-19 17:09:27.4457,30.97265
 2025-08-19 17:09:27.4458,30.97265
 2025-08-19 17:09:27.4459,30.95712
 2025-08-19 17:09:27.4460,30.964885
 2025-08-19 17:09:27.4461,30.949355
 2025-08-19 17:09:27.4462,30.949355
 2025-08-19 17:09:27.4463,30.949355
 2025-08-19 17:09:27.4464,30.94159
 2025-08-19 17:09:27.4465,30.94159
 2025-08-19 17:09:27.4466,30.92606
 2025-08-19 17:09:27.4467,30.933825
 2025-08-19 17:09:27.4468,30.95712
 2025-08-19 17:09:27.4469,30.95712
 2025-08-19 17:09:27.4470,30.980415
 2025-08-19 17:09:27.4471,30.980415
 2025-08-19 17:09:27.4472,30.995945
 2025-08-19 17:09:27.4473,30.995945
 2025-08-19 17:09:27.4474,31.00371
 2025-08-19 17:09:27.4475,31.027005
 2025-08-19 17:09:27.4476,31.03477
 2025-08-19 17:09:27.4477,31.042535
 2025-08-19 17:09:27.4478,31.042535
 2025-08-19 17:09:27.4479,31.03477
 2025-08-19 17:09:27.4480,31.0503
 2025-08-19 17:09:27.4481,31.042535
 2025-08-19 17:09:27.4482,31.03477
 2025-08-19 17:09:27.4483,31.027005
 2025-08-19 17:09:27.4484,31.027005
 2025-08-19 17:09:27.4485,31.03477
 2025-08-19 17:09:27.4486,31.011475
 2025-08-19 17:09:27.4487,31.011475
 2025-08-19 17:09:27.4488,31.011475
 2025-08-19 17:09:27.4489,31.01924
 2025-08-19 17:09:27.4490,31.042536
 2025-08-19 17:09:27.4491,31.027006
 2025-08-19 17:09:27.4492,31.034771
 2025-08-19 17:09:27.4493,31.027006
 2025-08-19 17:09:27.4494,31.042536
 2025-08-19 17:09:27.4495,31.058066
 2025-08-19 17:09:27.4496,31.042536
 2025-08-19 17:09:27.4497,31.050301
 2025-08-19 17:09:27.4498,31.050301
 2025-08-19 17:09:27.4499,31.058066
 2025-08-19 17:09:27.4500,31.058066
 2025-08-19 17:09:27.4501,31.03477
 2025-08-19 17:09:27.4502,31.042535
 2025-08-19 17:09:27.4503,31.03477
 2025-08-19 17:09:27.4504,31.0503
 2025-08-19 17:09:27.4505,31.0503
 2025-08-19 17:09:27.4506,31.03477
 2025-08-19 17:09:27.4507,31.042535
 2025-08-19 17:09:27.4508,31.0503
 2025-08-19 17:09:27.4509,31.042535
 2025-08-19 17:09:27.4510,31.042535
 2025-08-19 17:09:27.4511,31.03477
 2025-08-19 17:09:27.4512,31.042535
 2025-08-19 17:09:27.4513,31.03477
 2025-08-19 17:09:27.4514,31.042535
 2025-08-19 17:09:27.4515,31.0503
 2025-08-19 17:09:27.4516,31.027005
 2025-08-19 17:09:27.4517,31.027005
 2025-08-19 17:09:27.4518,31.027005
 2025-08-19 17:09:27.4519,31.01924
 2025-08-19 17:09:27.4520,31.03477
 2025-08-19 17:09:27.4521,31.042535
 2025-08-19 17:09:27.4522,31.042535
 2025-08-19 17:09:27.4523,31.03477
 2025-08-19 17:09:27.4524,31.03477
 2025-08-19 17:09:27.4525,31.042535
 2025-08-19 17:09:27.4526,31.027005
 2025-08-19 17:09:27.4527,31.042535
 2025-08-19 17:09:27.4528,31.03477
 2025-08-19 17:09:27.4529,31.03477
 2025-08-19 17:09:27.4530,31.042535
 2025-08-19 17:09:27.4531,31.027005
 2025-08-19 17:09:27.4532,31.011475
 2025-08-19 17:09:27.4533,31.00371
 2025-08-19 17:09:27.4534,31.011475
 2025-08-19 17:09:27.4535,31.011475
 2025-08-19 17:09:27.4536,30.98818
 2025-08-19 17:09:27.4537,30.995945
 2025-08-19 17:09:27.4538,30.980415
 2025-08-19 17:09:27.4539,31.011476
 2025-08-19 17:09:27.4540,31.003711
 2025-08-19 17:09:27.4541,30.995946
 2025-08-19 17:09:27.4542,30.988181
